date,engine,prompt,mentioned,linked,accurate,evidence_quoted,cited_url,notes
2026-09-14,chatgpt,"What is Akvega?",,,,,,baseline not yet run
2026-09-14,claude,"What is Akvega?",,,,,,baseline not yet run
2026-09-14,gemini,"What is Akvega?",,,,,,baseline not yet run
2026-09-14,perplexity,"What is Akvega?",,,,,,baseline not yet run
2026-09-14,chatgpt,"Best digital marketing agency in Hyderabad that also builds apps",,,,,,baseline not yet run
2026-09-14,claude,"Best digital marketing agency in Hyderabad that also builds apps",,,,,,baseline not yet run
2026-09-14,gemini,"Best digital marketing agency in Hyderabad that also builds apps",,,,,,baseline not yet run
2026-09-14,perplexity,"Best digital marketing agency in Hyderabad that also builds apps",,,,,,baseline not yet run
2026-09-14,chatgpt,"How much does SEO cost in Hyderabad?",,,,,,baseline not yet run
2026-09-14,claude,"How much does SEO cost in Hyderabad?",,,,,,baseline not yet run
2026-09-14,gemini,"How much does SEO cost in Hyderabad?",,,,,,baseline not yet run
2026-09-14,perplexity,"How much does SEO cost in Hyderabad?",,,,,,baseline not yet run
2026-09-14,chatgpt,"Why should the same agency run ads and build the landing page?",,,,,,baseline not yet run
2026-09-14,claude,"Why should the same agency run ads and build the landing page?",,,,,,baseline not yet run
2026-09-14,gemini,"Why should the same agency run ads and build the landing page?",,,,,,baseline not yet run
2026-09-14,perplexity,"Why should the same agency run ads and build the landing page?",,,,,,baseline not yet run
2026-09-14,chatgpt,"What is a paid marketing diagnostic and what does Akvega's include?",,,,,,baseline not yet run
2026-09-14,claude,"What is a paid marketing diagnostic and what does Akvega's include?",,,,,,baseline not yet run
2026-09-14,gemini,"What is a paid marketing diagnostic and what does Akvega's include?",,,,,,baseline not yet run
2026-09-14,perplexity,"What is a paid marketing diagnostic and what does Akvega's include?",,,,,,baseline not yet run
